user_id,is_anomaly,anomaly_score,risk_level,reason
0,1,-0.5629983061276147,Medium,total_email_size: 137166088.00; max_email_size: 6590024.00; avg_email_size: 413150.87
1,0,-0.38878866146091057,Low,Normal behavior
2,0,-0.4073078579087417,Low,Normal behavior
3,0,-0.4260268342156029,Low,Normal behavior
4,0,-0.3708045333538949,Low,Normal behavior
5,0,-0.4015999538335693,Low,Normal behavior
6,0,-0.36872725375626647,Low,Normal behavior
7,0,-0.3761706045181268,Low,Normal behavior
8,0,-0.4267858119462786,Low,Normal behavior
9,0,-0.3699029743245042,Low,Normal behavior
10,1,-0.533569098445968,Medium,total_email_size: 231614770.00; max_email_size: 9028164.00; avg_email_size: 560810.58
11,0,-0.43752276448815086,Low,Normal behavior
12,0,-0.3838252748641481,Low,Normal behavior
13,0,-0.39882147050007133,Low,Normal behavior
14,0,-0.38694613627637536,Low,Normal behavior
15,0,-0.38361395508906293,Low,Normal behavior
16,0,-0.38720379326362125,Low,Normal behavior
17,0,-0.3564362020287267,Low,Normal behavior
18,0,-0.39191605139366986,Low,Normal behavior
19,0,-0.3928510894498859,Low,Normal behavior
20,0,-0.37407154718878816,Low,Normal behavior
21,0,-0.4464621781457347,Low,Normal behavior
22,0,-0.4086452113256476,Low,Normal behavior
23,0,-0.35649598736318033,Low,Normal behavior
24,0,-0.36548868034282356,Low,Normal behavior
25,0,-0.4026519300984311,Low,Normal behavior
26,0,-0.45012456291097386,Low,Normal behavior
27,1,-0.5569328539354581,Medium,total_email_size: 87780150.00; max_email_size: 5926623.00; avg_email_size: 997501.70
28,0,-0.39793725248917794,Low,Normal behavior
29,0,-0.47382187610648346,Low,Normal behavior
30,0,-0.4917178465684568,Medium,Normal behavior
31,0,-0.40605326335478675,Low,Normal behavior
32,0,-0.455659976769938,Low,Normal behavior
33,0,-0.3948744578553084,Low,Normal behavior
34,0,-0.3681244437610219,Low,Normal behavior
35,0,-0.3521326222272228,Low,Normal behavior
36,0,-0.34875077466377785,Low,Normal behavior
37,0,-0.37476916297163837,Low,Normal behavior
38,0,-0.44925635097184785,Low,Normal behavior
39,0,-0.3618417439450962,Low,Normal behavior
40,0,-0.36568798390297935,Low,Normal behavior
41,0,-0.3588314819633411,Low,Normal behavior
42,1,-0.5134772583997692,Medium,total_email_size: 188988044.00; max_email_size: 7355591.00; avg_email_size: 713162.43
43,0,-0.3791184690098503,Low,Normal behavior
44,0,-0.5051002383387864,Medium,Normal behavior
45,0,-0.43240654659646016,Low,Normal behavior
46,0,-0.37967544516093765,Low,Normal behavior
47,0,-0.3669446122077554,Low,Normal behavior
48,0,-0.3846389784685364,Low,Normal behavior
49,0,-0.38795505386680224,Low,Normal behavior
50,0,-0.458618067358678,Low,Normal behavior
51,0,-0.49452268196711874,Medium,Normal behavior
52,0,-0.3875704001232341,Low,Normal behavior
53,0,-0.39622992406307356,Low,Normal behavior
54,0,-0.36490603558672513,Low,Normal behavior
55,0,-0.4254469640798399,Low,Normal behavior
56,0,-0.34619807642314737,Low,Normal behavior
57,0,-0.3702879825296807,Low,Normal behavior
58,0,-0.3460347912262165,Low,Normal behavior
59,0,-0.3969179826153349,Low,Normal behavior
60,0,-0.4440894278215618,Low,Normal behavior
61,0,-0.38530772160788673,Low,Normal behavior
62,1,-0.5482600830163291,Medium,total_email_size: 185194196.00; max_email_size: 7228820.00; avg_email_size: 301128.77
63,0,-0.4101405669185257,Low,Normal behavior
64,0,-0.49577364533787416,Medium,Normal behavior
65,0,-0.4140195101212315,Low,Normal behavior
66,0,-0.34496456349753446,Low,Normal behavior
67,0,-0.48889026230325977,Medium,Normal behavior
68,0,-0.4790213432530297,Medium,Normal behavior
69,0,-0.3928384714524606,Low,Normal behavior
70,1,-0.5835222863865063,Medium,total_email_size: 206242362.00; max_email_size: 8787329.00; avg_email_size: 449329.76
71,0,-0.3973121969104032,Low,Normal behavior
72,0,-0.38611179020822556,Low,Normal behavior
73,0,-0.3863236996424395,Low,Normal behavior
74,0,-0.4358186228617657,Low,Normal behavior
75,0,-0.4642734039642182,Low,Normal behavior
76,0,-0.475825530594062,Medium,Normal behavior
77,0,-0.4134653589204545,Low,Normal behavior
78,0,-0.3849148710566442,Low,Normal behavior
79,0,-0.37666474256121607,Low,Normal behavior
80,0,-0.3532944178515273,Low,Normal behavior
81,0,-0.42952718730062905,Low,Normal behavior
82,0,-0.3464134322813852,Low,Normal behavior
83,1,-0.6191842597444117,High,total_email_size: 76149689.00; max_email_size: 4729026.00; avg_email_size: 276907.96
84,0,-0.34905263808861775,Low,Normal behavior
85,1,-0.5194182489632337,Medium,total_email_size: 212029254.00; max_email_size: 9339889.00; avg_email_size: 638642.33
86,0,-0.40560830714691165,Low,Normal behavior
87,0,-0.38682479832719596,Low,Normal behavior
88,0,-0.38867414185966676,Low,Normal behavior
89,1,-0.6514386080037537,High,total_email_size: 10662244.00; max_email_size: 1989526.00; avg_email_size: 355408.13
90,0,-0.3613133996003229,Low,Normal behavior
91,0,-0.42644602794210223,Low,Normal behavior
92,0,-0.36912521557816036,Low,Normal behavior
93,0,-0.38996858270238943,Low,Normal behavior
94,0,-0.3734759239452486,Low,Normal behavior
95,0,-0.47485451614143864,Low,Normal behavior
96,0,-0.45824420682505906,Low,Normal behavior
97,0,-0.46995307443439094,Low,Normal behavior
98,0,-0.37212193323340953,Low,Normal behavior
99,1,-0.5098336956584414,Medium,total_email_size: 139562097.00; max_email_size: 13711708.00; avg_email_size: 536777.30
100,0,-0.36433152315620027,Low,Normal behavior
101,0,-0.3574666470253507,Low,Normal behavior
102,1,-0.5286021120094432,Medium,total_email_size: 216398123.00; max_email_size: 7108548.00; avg_email_size: 527800.30
103,0,-0.44628486713009013,Low,Normal behavior
104,0,-0.5007181991371181,Medium,Normal behavior
105,1,-0.5876129618328391,Medium,total_email_size: 20051969.00; max_email_size: 2447893.00; avg_email_size: 668398.97
106,0,-0.4256788072813298,Low,Normal behavior
107,0,-0.39198207233463894,Low,Normal behavior
108,0,-0.38971384642928086,Low,Normal behavior
109,0,-0.35395029709447096,Low,Normal behavior
110,0,-0.34184150220147475,Low,Normal behavior
111,0,-0.38738369146127505,Low,Normal behavior
112,0,-0.34996582895184486,Low,Normal behavior
113,0,-0.44874563117700067,Low,Normal behavior
114,1,-0.5082836523867655,Medium,total_email_size: 22210277.00; max_email_size: 2481223.00; avg_email_size: 653243.44
115,0,-0.39667047734579286,Low,Normal behavior
116,0,-0.4107263013468905,Low,Normal behavior
117,0,-0.49718172396919524,Medium,Normal behavior
118,0,-0.3662234703436279,Low,Normal behavior
119,0,-0.37464742632552905,Low,Normal behavior
120,0,-0.3674911034877118,Low,Normal behavior
